doc_id,comment_id,text,entity,label,rule_name,score,start,end
1,2,Perlawanan ojol dgn tolak jokodok,jokodok,PER,person_jokowi,1.0,26,33
1,2,Perlawanan ojol dgn tolak jokodok,ojol,ORG,org_gojek,1.0,11,15
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",Nadiem,PER,person_nadiem,1.0,132,138
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",Indonesia,GPE,geo_indonesia,1.0,49,58
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",Indonesia,GPE,geo_indonesia,1.0,104,113
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",Pilpres,EVT,event_terms,1.0,0,7
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",280 juta,MON,money_terms,1.0,34,42
2,3,"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya",1 orang,QTY,quantity_terms,1.0,96,103
5,6,"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢",Indonesia,GPE,geo_indonesia,1.0,44,53
5,6,"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢",Indonesia,GPE,geo_indonesia,1.0,83,92
5,6,"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢",indonesia,GPE,geo_indonesia,1.0,169,178
